Boston,Celtics
Brooklyn,Nets
New York,Knicks
Philadelphia,76ers
Toronto,Raptors
Chicago,Bulls
Cleveland,Caveliers
Detriot,Pistons
Indiana,Pacers
Milwaukee,Bucks
Atlanta,Hawks
Charlotte,Bobcats
Miami,Heat
Orlando,Magic
Washington,Wizards
Dallas,Mavericks
Houston,Rockets
Memphis,Grizzlies
New Orleans,Hornets
San Antonio,Spurs
Denver,Nuggets
Minnesota,Timberwolves
Portland,Trail Blazers
Oklahoma City,Thunder
Utah,Jazz
Golden State,Warriors
Los Angeles,Clippers
Los Angeles,Lakers
Phoenix,Suns
Sacramento,Kings
